Texto,Cita
"López,  V  (2017).  Evolucion  Historica  del  Cloud.Universitat  Oberta  de  Catalunya, recuperado de:https://openaccess.uoc.edu/bitstream/10609/141046/24/PLA5_Evoluci%C3%B3n%20hist%C3%B3rica%20del%20Cloud.pdf",1 

"London,  B.  (1932).  Ending  the  depression  through  planned  obsolescence.Wisconsin, EEUU. Ed. Prabhat Prakashan.",1 

"Loya  Salas, M. (2014). Las tecnologías de la información y la comunicación (TIC) en educación  en  América  Latina:  una  política educativa. Culcyt//Políticas Públicas, 52(1), 85-92.",1

"Mancilla CM. (2017). Redes de Computadoras. Universidad Nacional del Litoral.",1

"Mariani, J. (2016) De la Tierra a los Datos: La Segunda Revolución Verde y el Internet de las Cosas.",1

"Marín, J. M. M., & Cámara, S. B. (2012). Agentes impulsores de la adopción de Cloud Computing en las empresas. ¿Quién mueve la nube?. UCJC Business and Society Review (formerly known as Universia Business Review), (35).",1

"Mela, J. L., Cedeño, G. D., &amp; Herrera, E. C. (2021). Edge Computing: Aplicaciones y desafíos actuales. Visión Antataura, 5(1), 75-91.",1

"Mell, P. y T. Grance, Definicion del cloud computing, NIST (2011)",1

"Moraga,  A.  L.  R.  (2003).  Historia  e  Internet:  aproximación  al  futuro  de  la  labor investigadora.  Aportaciones  de la comunicación a la comprensión y construcción de la historia del siglo XX, 1, 369-395.",1

"Nofal, S., Gupta, S., Gopal, R., &; Sharma, A. 2018. ""Industrial Internet of Things (IoT) in Industry 4.0"". Procedia Computer Science, 133, 131-138.",1

"Nishio, M. (2004). Tecnologías de Información y Comunicación para el Desarrollo. [fecha de  consulta:  15  de  Marzo  de  2025].  Disponible  en:  http://www.listin.com.do/ /cuerpos7dinero/.html",1

"O ́brian, J. (2001). Sistemas de Información General, 4ta edición. Bogotá, Colombia. Ed. McGraw-Hill.",1

"OCDE- FAO. (2024) Perspectivas Agricola 2024-2023.",1

"Padhiary,  M.,  Saikia,  P.,  Roy,  P.,  Hussain,  N.,  &;  Kumar,  K.  (2025).  A  Review  on Advancing  Agricultural  Efficiency  through  Geographic  Information  Systems,  Remote Sensing, and Automated Systems. Cureus Journals, 2(1).",1 

"Perdomo, V. P. T., Caizabuano, J. R. C., &; Altamirano, F. S. C. (2018). Arquitectura de redes de información. Principios y conceptos. Dominio de las Ciencias, 4(2), 103-122.",1

"Premkumar, G., Ramamurthy, K. y Crum, M. (1997): ""Determinants of EDI adoption in the transportation  industry"",  European  Journal  of  Information  Systems,  Vol.  6,  núm. 2, p. 107121.",1 

"Quintanilla,  Miguel  A.  (2017).  Tecnología:  un  enfoque  filosófico  y  otros  ensayos  de filosofía  de  la  tecnología.  Editorial  Fondo  de  Cultura  Económica.  Colección  Ciencia, Tecnología, Sociedad. ISBN: 9786071650412. México D.F. México",1 

"Sáiz-Rubio, V. &; Rovira-Más, F. (2020). From smart farming towards agricultura 5.0: A review  on  crop  data  management.  Agronomy,  10(2):  207  [online]. https://doi.org/10.3390/agronomy10020207",1

"Salazar,  J.,  &;  Silvestre,  S.  (2016).  Internet  de las cosas.   System Analysis &; design methods. Boston, EEUU. Ed. McGraw-Hill.",1

"Stassi, H. M., &; Hoffmann, G. E. (2023). Digitalización organizacional y su relación con las ventajas competitivas. In XII Congreso de Administración del Centro de la República. VIII  Congreso  de  Ciencias  Económicas  del  Centro  de  la  República.  IX  Encuentro Internacional de Administración del Centro de la República. IAPCS- Universidad Nacional de Villa María.",1

"Troung, D. (2010): ""How Cloud Computing enhances competitive advantages: a research model for small businesses"", The Business Review, Vol. 4, núm. 1, p. 3-38 University of South Florida. (s.f.). fcit. Recuperado de: http://fcit.usf.edu/network/chap1/chap1.htm ",1

"Verdouw, C., Wolfert, S., &; Perez, M. J. (2016). Internet of Things in agriculture. CAB reviews:  perspectives  in  agriculture,  veterinary science, nutrition and natural resources, 11(032), 1 1-12.",1

"Whitten, J. Bentley, L y Dittman, K (2004). System Analysis &; design methods. Boston, EEUU. Ed. McGraw-Hill.",1

"Wolfert, S. (2017). Big data in smart farming–concepts, requirements and challenges. In Precision agriculture&#39; 17 (pp. 69-76). Wageningen Academic Publishers.",1

"Zaharia, M. (2010). A view of cloud computing. Communications of the ACM, 53(4), 50- 58. Benos, L., Tagarakis, A. C., Patsakas, N., &amp; Dotsika, E. (2021). Smart farming systems for sustainable agriculture. Sustainability, 13(8), 4104.",1

